"","APMC","Commodity","Year","V1"
"5356","Kolhapur-Laxmipuri","Spilt Gerrn Gram",2014,0.0856472357515802
"5357","Nagpur","Mosambi",2014,0.0856210326187519
"5358","Shirur","Black Gram",2015,0.0855871628701819
"5359","Ahmednagar","Cucumber",2015,0.0855510630821504
"5360","Ambad(Vadi Godri)","Bajri",2016,0.0855486585819286
"5361","Tumsar","Green Gram",2015,0.0855311261721709
"5362","Vaduj","Maize",2015,0.0855150257229088
"5363","Akkolkot","Green Gram",2015,0.0854435257475793
"5364","Pachora","Sorgum(Jawar)",2015,0.0854298500956536
"5365","Mehkar","Soybean",2016,0.0854196839300658
"5366","Ausa","Maize",2014,0.0854022745559229
"5367","Aurangabad","Jambhul",2016,0.08537770390648
"5368","Shahada","Bajri",2015,0.0853776594416092
"5369","Vaduj","Wheat(Husked)",2015,0.0853738971033794
"5370","Amarawati","Bajri",2016,0.0853330369354209
"5371","Ahmednagar","Ground Nut Pods (Dry)",2016,0.0852907211878181
"5372","Aurangabad","Gram",2014,0.0852634308313753
"5373","Akot","Sorgum(Jawar)",2015,0.0852438119563014
"5374","Gangapur","Green Gram",2016,0.0851956513666897
"5375","Jamkhed","Wheat(Husked)",2016,0.0851935880947648
"5376","Jalkot","Black Gram",2015,0.0851519964325541
"5377","Sailu","Green Gram",2014,0.0851150262647193
"5378","Nandurbar","Maize",2014,0.0850779393858607
"5379","Ramtek","Custard Apple",2015,0.0850654774359756
"5380","Nagpur","Cluster Bean",2015,0.0849866956449823
"5381","Kille Dharur","Gram",2015,0.0849798207359425
"5382","Jamkhed","Sorgum(Jawar)",2016,0.0849629504423909
"5383","Sakri","Sesamum",2016,0.0849519041569073
"5384","Vaijapur","Green Gram",2015,0.0849278855430596
"5385","Ahmedpur","Tamarind Seed",2015,0.0849027273989524
"5386","Malkapur","Bajri",2015,0.0848797855005195
"5387","Malkapur","Sorgum(Jawar)",2014,0.0848018988404661
"5388","Varud-Rajura Bazar","Sorgum(Jawar)",2015,0.0847983913530432
"5389","Osmanabad","Ginger (Fresh)",2015,0.0847873999762501
"5390","Kalamb (Os)","Sunflower",2016,0.0847383070380333
"5391","Amalner","Sorgum(Jawar)",2016,0.0847256104202634
"5392","Solapur","Matki",2016,0.084703063543533
"5393","Vaduj","Maize",2016,0.0846935306184208
"5394","Patur","Sorgum(Jawar)",2015,0.0846689068929867
"5395","Jalgaon","Wheat(Husked)",2015,0.0846538419771027
"5396","Chandrapur-Ganjwad","Flower",2014,0.0846501073386511
"5397","Sailu","Sorgum(Jawar)",2014,0.0846448313872811
"5398","Nandgaon","Wheat(Husked)",2016,0.0846049173270838
"5399","Ashti-Karanja","Pigeon Pea (Tur)",2015,0.0845462835733414
"5400","Pathardi","Gram",2015,0.0845261646294104
"5401","Yawal","Bajri",2016,0.0844545988009743
"5402","Osmanabad","Ginger (Fresh)",2016,0.0844455560746265
"5403","Bhokardan-Pimpalgaon Renu","Maize",2016,0.0844029714581915
"5404","Ahmedpur","Gram",2015,0.0843818905755438
"5405","Pune-Pimpri","Ghosali(Bhaji)",2015,0.0843709596965025
"5406","Navapur","Indian Bean",2016,0.0843565984573425
"5407","Parola","Maize",2016,0.084319410190016
